15.01.2021,Социально-экономическое развитие Республики Казахстан,(Декабрь 2020 года том 2)
20.01.2021,Показатели индустриально-инновационного развития Республики Казахстан,(январь-декабрь 2020 года)
08.02.2021,Показатели индустриально-инновационного развития Республики Казахстан,(2015-2019 годы)
09.02.2021,Социально-экономическое развитие Республики Казахстан,(Декабрь 2020 года том 1)
12.02.2021,Мониторинг развития села,(4 квартал 2020 года Часть 1)
17.02.2021,О жилищном фонде Республики Казахстан,(2020)
09.03.2021,Статистические показатели,(1/2021)
17.03.2021,Социально-экономическое развитие Республики Казахстан,(Февраль 2021 года том 2)
19.03.2021,Социально-экономическое развитие Республики Казахстан,(Февраль 2021 года том 1)
31.03.2021,Экономика и статистика,(1/2021)
02.04.2021,Мониторинг развития села,(4 квартал 2020 года Часть 2)
05.04.2021,Социально-экономическое развитие Республики Казахстан,(Январь 2021 года том 1)
14.04.2021,Социально-экономическое развитие Республики Казахстан,(Март 2021 года том 2)
16.04.2021,Социально-экономическое развитие Республики Казахстан,(Март 2021 года том 1)
19.05.2021,Социально-экономическое развитие Республики Казахстан,(Апрель 2021 года том 1)
19.05.2021,Социально-экономическое развитие Республики Казахстан,(Апрель 2021 года том 2)
19.05.2021,Мониторинг развития села,(1 квартал 2021 года Часть 1)
19.05.2021,Статистические показатели,(2/2021)
25.05.2021,Национальные счета Республики Казахстан,(2015-2019)
01.06.2021,Предварительные данные,(2020 год)
09.06.2021,Дети казахстана,(2015-2019)
14.06.2021,Социально-экономическое развитие Республики Казахстан,(Май 2021 года том 1)
15.06.2021,Социально-экономическое развитие Республики Казахстан,(Май 2021 года том 2)
30.06.2021,Цены на потребительском рынке в Республике Казахстан,(2016-2020)
30.06.2021,Мониторинг развития села,(1 квартал 2021 года Часть 2)
30.06.2021,Экономика и статистика,(2/2021)
14.07.2021,Социально-экономическое развитие Республики Казахстан,(Январь 2021 года том 2)
14.07.2021,Социально-экономическое развитие Республики Казахстан,(Июнь 2021 года том 2)
14.07.2021,"Цены в промышленности, строительстве, и сельском хозяйстве в Республике Казахстан",(2016-2020)
14.07.2021,Цены в строительстве и на услуги производственной сферы в Республике Казахстан,(2016-2020)
14.07.2021,Цены оптовой и внешней торговли в Республике Казахстан,(2016-2020)
19.07.2021,Социально-экономическое развитие Республики Казахстан,(Июнь 2021 года том 1)
26.07.2021,Занятость в Казахстане,(2016-2020)
05.08.2021,Статистические показатели,(3/2021)
06.08.2021,"Цены в сельском, лесном и рыбном хозяйстве в Республике Казахстан",(2016-2020)
16.08.2021,Социально-экономическое развитие Республики Казахстан,(Июль 2021 года том 1)
16.08.2021,Социально-экономическое развитие Республики Казахстан,(Июль 2021 года том 2)
23.08.2021,Оплата труда в Республике Казахстан,(2016-2020)
25.08.2021,Мониторинг развития села,(2 квартал 2021 года Часть 1)
15.09.2021,Казахстан сегодня,(2020)
16.09.2021,Социально-экономическое развитие Республики Казахстан,(Август 2021 года том 2)
16.09.2021,Экономика и статистика,(3/2021)
19.09.2021,Розничная и оптовая торговля в Республике Казахстан,(2016-2020)
20.09.2021,Социально-экономическое развитие Республики Казахстан,(Август 2021 года том 1)
21.09.2021,Регионы Казахстана (брошюра),(в 2020 году)
24.09.2021,Казахстан в цифрах (брошюра),(2020)
30.09.2021,Демографический ежегодник казахстана,(2016-2020)
30.09.2021,Малое и среднее предпринимательство в Республике Казахстан,(2016-2020)
30.09.2021,Основные фонды Казахстана,(2016-2020)
05.10.2021,Женщины и мужчины казахстана,(2016-2020)
06.10.2021,Топливно-энергетический баланс Республики Казахстан,(2016-2020)
06.10.2021,Мониторинг развития села,(2 квартал 2021 года Часть 2)
08.10.2021,Промышленность Казахстана и его регионов,(2016-2020)
08.10.2021,Транспорт в Республике Казахстан,(2016-2020)
08.10.2021,Уровень жизни населения в Казахстане,(2016-2020)
08.10.2021,Услуги в Республике Казахстан,(2016-2020)
